Molecule ChEMBL ID,Smiles,Standard Type,Standard Value,Standard Units,New_Std Value
CHEMBL4085339,O=C(CCCCCCOc1ccccc1C(=O)Nc1ncnc2[nH]cnc12)NO,IC50,2700.0,nM,4266.666666666667
CHEMBL3898479,CN(C)S(=O)(=O)Nc1ccc(Oc2ccccc2)c(-c2cn(C)c(=O)c3[nH]ccc23)c1,Ki,2.2,nM,12.275
CHEMBL3902857,Cn1cc(-c2cc(NS(C)(=O)=O)ccc2OC2CCOC2)c2cc[nH]c2c1=O,Ki,1.8,nM,7.6000000000000005
CHEMBL3896902,Cn1cc(-c2cc(NS(=O)(=O)CCF)ccc2OC2CCOC2)c2cc[nH]c2c1=O,Ki,12.2,nM,49.800000000000004
CHEMBL3928532,Cn1cc(-c2ccccc2C(O)c2ccc(Cl)cc2)c2cc[nH]c2c1=O,Ki,3600.0,nM,2590.0
CHEMBL3923986,Cc1noc(C)c1-c1ccc2c(c1)C(NCCC(C)C)(C1CCCCC1)C(=O)N2,IC50,3700.0,nM,3700.0
CHEMBL3933546,Cc1noc(C)c1-c1ccc2c(c1)C(C1CCCCC1)(N1CCOCC1)C(=O)N2,IC50,94.0,nM,94.0
CHEMBL3928016,CCOc1cc(=O)n(C)cc1-c1cc(NC(=O)Cc2ccc(C)nc2)ccc1Oc1ccc(F)cc1F,Ki,65.5,nM,138.75
CHEMBL3978823,CCOc1cc(=O)n(C)cc1-c1cc(NC(=O)Cc2cccc(Oc3ccccc3)c2)ccc1Oc1ccc(F)cc1F,Ki,54.1,nM,1217.05
CHEMBL3932535,CCOc1cc(=O)n(C)cc1-c1cc(NCc2ccccc2C#N)ccc1Oc1ccc(F)cc1F,Ki,180.0,nM,165.0
CHEMBL3960107,CCOc1cc(=O)n(C)cc1-c1cc(NC(=O)CCCOc2ccccc2)ccc1Oc1ccc(F)cc1F,Ki,304.0,nM,229.5
CHEMBL3970167,CCOc1cc(=O)n(C)cc1-c1cc(NC(=O)CC2CCCCC2)ccc1Oc1ccc(F)cc1F,Ki,111.0,nM,78.9
CHEMBL3975290,CCOc1cc(=O)n(C)cc1-c1cc(NCc2cccc(OC)c2OCc2ccccc2)ccc1Oc1ccc(F)cc1F,Ki,991.0,nM,673.0
CHEMBL3920780,CCOc1cc(=O)n(C)cc1-c1cc(N(CC2CC2)S(=O)(=O)Cc2ccccc2)ccc1Oc1ccc(F)cc1F,Ki,1040.0,nM,526.55
